dataset,source_class,target_class,mapping_type,decision,reason,license_status,notes
Roboflow E-Waste Dataset v44,CRT-Monitor,crt,direct,USE_WITH_FILTERING,"Visual sample of 20 images across train/valid/test showed CRT monitors (deep chassis/curved screens) in 16 clearly relevant cases; 4 borderline (CRT all-in-one iMac G3, TV-like unit, fisheye office panorama also containing flat panels, cluttered scenes). No sampled image lacked a CRT. Whole devices not isolated CRT tubes. Filter mixed scenes, AIO computers, and tiny/occluded instances before training.","DATASET_LEVEL_CC_BY_4.0; underlying cloned sources UNVERIFIED","Local class counts from COCO: 47 images / 68 objects; mixed bbox+polygon. README.dataset.txt License: CC BY 4.0. Dataset cloned from 91 Roboflow sources plus some Wikimedia Commons PD images. Stem/hash leakage exists in v44 export."
Roboflow E-Waste Dataset v44,CRT-TV,crt,direct,USE_WITH_FILTERING,"Visual sample of 20 images showed CRT TVs in 15 clearly relevant cases; 5 borderline (watermarks including etagi/listing marks, occlusion, TV occupying a small fraction of indoor scenes). No sampled flat-panel as the labeled object. Suitable for SIH crt after watermark and scene filtering.","DATASET_LEVEL_CC_BY_4.0; underlying cloned sources UNVERIFIED","Local class counts from COCO: 107 images / 120 objects; mixed bbox+polygon. 2 images also annotated CRT-Monitor."
Roboflow E-Waste Dataset v44,PCB,pcb,direct,USE_WITH_FILTERING,"Visual sample of 20 images: PCB visible in all 20 (16 clearly relevant; 4 borderline scrap-pile composites / mouse-internal board / stock-like burnt-board close-up with Shutterstock-style filename). No empty or non-PCB class errors in sample. Filter cluttered composites and stock-like images.","DATASET_LEVEL_CC_BY_4.0; underlying cloned sources UNVERIFIED","Local class counts from COCO: 308 images / 1056 objects (mostly bbox). 1 MD5 duplicate group (cross-split)."
Roboflow E-Waste Dataset v44,Battery,battery,direct,USE_WITH_FILTERING,"Visual sample of 20 images: batteries clearly visible in all 20 (16 clearly relevant; 4 borderline retail packaging, hand-in-frame, ZOL.COM.CN watermark). Mostly consumer alkaline catalog shots rather than scrap Li-ion packs. Filter packaging and watermarked images. Unusual split: valid images (248) exceed train (139).","DATASET_LEVEL_CC_BY_4.0; underlying cloned sources UNVERIFIED","Local class counts from COCO: 432 images / 698 objects; mixed bbox+polygon. 13 extra MD5 copies (5 groups cross-split)."
Roboflow E-Waste Dataset v44,Flat-Panel-Monitor,,invalid,DO_NOT_MAP,"Do not map to lcd_panel. README.dataset.txt states LED monitors and LCD monitors look very similar and are both labelled Flat-Panel-Monitor. OLED is not mentioned. Visual sample of 20: whole monitors/AIO devices, 0 confirmed LCD-only, 0 bare lcd_panel modules. Dataset docs plus visuals do not support an LCD-specific mapping.","DATASET_LEVEL_CC_BY_4.0; underlying cloned sources UNVERIFIED","Local class counts from COCO: 626 images / 790 objects. High duplicate/leakage in this class (74 extra MD5 copies; 38 groups cross-split). docs/dataset_sources.md previously suggested lcd_panel supplementary mapping; visual+README audit rejects automatic mapping."
Roboflow E-Waste Dataset v44,Flat-Panel-TV,,invalid,DO_NOT_MAP,"Do not map to lcd_panel. Class is whole TVs; LCD/LED/OLED/plasma not distinguished. Visual sample of 20: 17 whole TVs, 2 borderline, 1 obvious CRT TV mislabel (train/000000568281_jpg.rf.873639906f0e28536a1a8ea4a576bd65.jpg). 0 confirmed LCD panels.","DATASET_LEVEL_CC_BY_4.0; underlying cloned sources UNVERIFIED","Local class counts from COCO: 206 images / 214 objects. docs/dataset_sources.md previously suggested lcd_panel supplementary mapping; visual+README audit rejects automatic mapping."
Kaggle E-Waste Image Dataset,Battery,battery,direct,USE,"Folder Battery contains 300 images (240/30/30). Visual sample of 20 across splits: all showed actual battery objects (phone packs, laptop packs, cylindrical cells, LiPo pouches, SLA/automotive). No obvious wrong-class examples in sample.","DATASET_LEVEL_APACHE_2.0; per-image provenance UNVERIFIED","All files 150x150 jpg catalog-style. Audit found iStock watermark on train/Battery/battery_272.jpg. No SHA-256 duplicates in Battery class. docs/dataset_sources.md: Battery -> battery."
Kaggle E-Waste Image Dataset,PCB,pcb,direct,USE_WITH_CAUTION,"Folder PCB contains 300 images (240/30/30). Visual sample of 20: all contained printed circuit boards. Borderline/noisy: comparison graphic with text overlays (pcb_173.jpg), 3D-style interior (pcb_0.jpg), annotation arrow (pcb_250.jpg), mixed IT scrap (pcb_279.jpg). Multiple Dreamstime watermarks in sample. 150x150 thumbnails. SHA-256 duplicates present in PCB.","DATASET_LEVEL_APACHE_2.0; per-image provenance UNVERIFIED","docs/dataset_sources.md: PCB -> pcb after quality/duplicate/provenance inspection. Dataset-level Apache 2.0 does not prove Dreamstime/stock image licenses."
Kaggle E-Waste Image Dataset,Keyboard,,invalid,DO_NOT_MAP,"Device class; not a SIH material class. Do not map to crt, lcd_panel, pcb, cable, battery, motor, magnet_bearing_assembly, or mixed_plastics.","DATASET_LEVEL_APACHE_2.0; per-image provenance UNVERIFIED","300 images (240/30/30). docs/dataset_sources.md: other device classes not automatically mapped."
Kaggle E-Waste Image Dataset,Microwave,,invalid,DO_NOT_MAP,"Device class; not a SIH material class. Do not map automatically.","DATASET_LEVEL_APACHE_2.0; per-image provenance UNVERIFIED","300 images (240/30/30)."
Kaggle E-Waste Image Dataset,Mobile,,invalid,DO_NOT_MAP,"Device class; not a SIH material class. Do not map automatically.","DATASET_LEVEL_APACHE_2.0; per-image provenance UNVERIFIED","300 images (240/30/30)."
Kaggle E-Waste Image Dataset,Mouse,,invalid,DO_NOT_MAP,"Device class; not a SIH material class. Do not map automatically.","DATASET_LEVEL_APACHE_2.0; per-image provenance UNVERIFIED","300 images (240/30/30). SHA-256 duplicates and train/val leakage found in Mouse."
Kaggle E-Waste Image Dataset,Player,,invalid,DO_NOT_MAP,"Device class; not a SIH material class. Do not map automatically.","DATASET_LEVEL_APACHE_2.0; per-image provenance UNVERIFIED","300 images (240/30/30)."
Kaggle E-Waste Image Dataset,Printer,,invalid,DO_NOT_MAP,"Device class; not a SIH material class. Do not map automatically.","DATASET_LEVEL_APACHE_2.0; per-image provenance UNVERIFIED","300 images (240/30/30). Train/test SHA-256 leakage found in Printer."
Kaggle E-Waste Image Dataset,Television,,invalid,DO_NOT_MAP,"Device class. Do not map Television to crt or lcd_panel. docs/dataset_sources.md: Do NOT map device classes such as Television directly to CRT/LCD.","DATASET_LEVEL_APACHE_2.0; per-image provenance UNVERIFIED","300 images (240/30/30). SHA-256 duplicates including train/test and train/val pairs."
Kaggle E-Waste Image Dataset,Washing Machine,,invalid,DO_NOT_MAP,"Device class; not a SIH material class. Do not map automatically.","DATASET_LEVEL_APACHE_2.0; per-image provenance UNVERIFIED","300 images (240/30/30)."
